Fecha diagnóstico;Edad;Medida;Valor;
18/02/2022;De 30 a 39 años; ;535;
18/02/2022;De 40 a 49 años; ;628;
18/02/2022;De 50 a 59 años; ;355;
18/02/2022;De 60 a 69 años; ;233;
18/02/2022;De 65 años; ;24;
18/02/2022;De 66 años; ;28;
18/02/2022;De 67 años; ;18;
18/02/2022;De 68 años; ;17;
18/02/2022;De 69 años; ;13;
18/02/2022;De 70 a 79 años; ;155;
18/02/2022;De 80 y más años; ;190;
17/02/2022;TOTAL; ;3077;
17/02/2022;De 0 a 4 años; ;88;
17/02/2022;De 5 a 11 años; ;223;
17/02/2022;De 12 a 19 años; ;283;
17/02/2022;De 20 a 29 años; ;413;
17/02/2022;De 30 a 39 años; ;559;
17/02/2022;De 40 a 49 años; ;607;
17/02/2022;De 50 a 59 años; ;376;
17/02/2022;De 60 a 69 años; ;192;
17/02/2022;De 65 años; ;17;
17/02/2022;De 66 años; ;17;
17/02/2022;De 67 años; ;8;
17/02/2022;De 68 años; ;17;
17/02/2022;De 69 años; ;20;
17/02/2022;De 70 a 79 años; ;156;
17/02/2022;De 80 y más años; ;179;
16/02/2022;TOTAL; ;3495;
16/02/2022;De 0 a 4 años; ;102;
16/02/2022;De 5 a 11 años; ;186;
16/02/2022;De 12 a 19 años; ;305;
16/02/2022;De 20 a 29 años; ;478;
16/02/2022;De 30 a 39 años; ;654;
16/02/2022;De 40 a 49 años; ;755;
16/02/2022;De 50 a 59 años; ;446;
16/02/2022;De 60 a 69 años; ;238;
16/02/2022;De 65 años; ;17;
16/02/2022;De 66 años; ;15;
16/02/2022;De 67 años; ;15;
16/02/2022;De 68 años; ;14;
16/02/2022;De 69 años; ;20;
16/02/2022;De 70 a 79 años; ;173;
16/02/2022;De 80 y más años; ;158;
15/02/2022;TOTAL; ;4123;
15/02/2022;De 0 a 4 años; ;122;
15/02/2022;De 5 a 11 años; ;246;
15/02/2022;De 12 a 19 años; ;345;
15/02/2022;De 20 a 29 años; ;526;
15/02/2022;De 30 a 39 años; ;800;
15/02/2022;De 40 a 49 años; ;855;
15/02/2022;De 50 a 59 años; ;499;
15/02/2022;De 60 a 69 años; ;301;
15/02/2022;De 65 años; ;24;
15/02/2022;De 66 años; ;23;
15/02/2022;De 67 años; ;24;
15/02/2022;De 68 años; ;15;
15/02/2022;De 69 años; ;25;
15/02/2022;De 70 a 79 años; ;202;
15/02/2022;De 80 y más años; ;227;
14/02/2022;TOTAL; ;3586;
14/02/2022;De 0 a 4 años; ;93;
14/02/2022;De 5 a 11 años; ;208;
14/02/2022;De 12 a 19 años; ;260;
14/02/2022;De 20 a 29 años; ;382;
14/02/2022;De 30 a 39 años; ;681;
14/02/2022;De 40 a 49 años; ;763;
14/02/2022;De 50 a 59 años; ;464;
14/02/2022;De 60 a 69 años; ;248;
14/02/2022;De 65 años; ;19;
14/02/2022;De 66 años; ;18;
14/02/2022;De 67 años; ;23;
14/02/2022;De 68 años; ;13;
14/02/2022;De 69 años; ;27;
14/02/2022;De 70 a 79 años; ;202;
14/02/2022;De 80 y más años; ;285;
13/02/2022;TOTAL; ;1001;
13/02/2022;De 0 a 4 años; ;46;
13/02/2022;De 5 a 11 años; ;95;
13/02/2022;De 12 a 19 años; ;77;
13/02/2022;De 20 a 29 años; ;105;
13/02/2022;De 30 a 39 años; ;158;
13/02/2022;De 40 a 49 años; ;183;
13/02/2022;De 50 a 59 años; ;112;
13/02/2022;De 60 a 69 años; ;78;
13/02/2022;De 65 años; ;7;
13/02/2022;De 66 años; ;7;
13/02/2022;De 67 años; ;10;
13/02/2022;De 68 años; ;8;
13/02/2022;De 69 años; ;7;
