Fecha,Territorio,ConfirmadosPCR,ConfirmadosTotal,Hospitalizados,UCI,Defunciones
2020-04-02,Granada,130,131,47,2,14
2020-04-02,Huelva,17,17,8,0,1
2020-04-02,Jaén,45,45,25,1,10
2020-04-02,Málaga,68,69,28,0,3
2020-04-02,Sevilla,78,78,40,3,15
2020-04-03,Andalucía,371,382,136,13,32
2020-04-03,Almería,15,15,3,0,2
2020-04-03,Cádiz,38,45,13,2,4
2020-04-03,Córdoba,66,66,18,2,11
2020-04-03,Granada,61,61,20,1,1
2020-04-03,Huelva,12,12,9,0,2
2020-04-03,Jaén,46,48,12,0,3
2020-04-03,Málaga,76,77,36,3,4
2020-04-03,Sevilla,57,58,25,5,5
2020-04-04,Andalucía,371,374,145,15,38
2020-04-04,Almería,26,26,4,1,2
2020-04-04,Cádiz,22,22,2,1,2
2020-04-04,Córdoba,66,66,15,2,4
2020-04-04,Granada,78,78,26,4,7
2020-04-04,Huelva,11,11,8,1,2
2020-04-04,Jaén,43,44,29,3,4
2020-04-04,Málaga,73,74,35,1,11
2020-04-04,Sevilla,52,53,26,2,6
2020-04-05,Andalucía,115,130,64,7,18
2020-04-05,Almería,1,2,1,0,0
2020-04-05,Cádiz,10,10,2,0,0
2020-04-05,Córdoba,11,11,5,0,1
2020-04-05,Granada,28,30,12,3,3
2020-04-05,Huelva,4,4,3,0,0
2020-04-05,Jaén,10,15,12,2,2
2020-04-05,Málaga,24,29,11,0,3
2020-04-05,Sevilla,27,29,18,2,9
2020-04-06,Andalucía,211,229,114,11,30
2020-04-06,Almería,16,16,7,0,1
2020-04-06,Cádiz,17,19,8,1,2
2020-04-06,Córdoba,28,28,11,0,7
2020-04-06,Granada,31,32,20,1,6
2020-04-06,Huelva,5,5,2,0,0
2020-04-06,Jaén,16,18,12,2,1
2020-04-06,Málaga,44,50,26,3,8
2020-04-06,Sevilla,54,61,28,4,5
2020-04-07,Andalucía,267,296,109,8,28
2020-04-07,Almería,12,14,5,1,2
2020-04-07,Cádiz,19,21,3,0,2
2020-04-07,Córdoba,20,20,8,3,2
2020-04-07,Granada,51,55,34,0,6
2020-04-07,Huelva,7,9,3,0,1
2020-04-07,Jaén,27,28,12,2,2
2020-04-07,Málaga,47,51,19,1,3
2020-04-07,Sevilla,84,98,25,1,10
