Lugar de residencia;Edad;Sexo;Medida;Valor;
Almería;De 0 a 4 años;Ambos sexos;Confirmados PDIA 7 días;198;
Almería;De 0 a 4 años;Ambos sexos;Tasa PDIA 7 dias;516,4992826398852;
Almería;De 0 a 4 años;Ambos sexos;Fallecidos;0;
Almería;De 0 a 4 años;Ambos sexos;Tasa_Mortalidad;0;
Almería;De 0 a 4 años;Ambos sexos;Total Confirmados;3696;
Almería;De 0 a 4 años;Ambos sexos;Tasa_total;9641,319942611191;
Almería;De 5 a 11 años;Ambos sexos;Confirmados PDIA;6992;
Almería;De 5 a 11 años;Ambos sexos;Tasa_PDIA;11865,729898516784;
Almería;De 5 a 11 años;Ambos sexos;Confirmados PDIA 14 días;801;
Almería;De 5 a 11 años;Ambos sexos;Tasa PDIA 14 dias;1359,3320435800836;
Almería;De 5 a 11 años;Ambos sexos;Confirmados PDIA 7 días;469;
Almería;De 5 a 11 años;Ambos sexos;Tasa PDIA 7 dias;795,9135186505107;
Almería;De 5 a 11 años;Ambos sexos;Fallecidos;1;
Almería;De 5 a 11 años;Ambos sexos;Tasa_Mortalidad;1,6970437497878694;
Almería;De 5 a 11 años;Ambos sexos;Total Confirmados;6997;
Almería;De 5 a 11 años;Ambos sexos;Tasa_total;11874,215117265723;
Almería;De 12 a 19 años;Ambos sexos;Confirmados PDIA;10121;
Almería;De 12 a 19 años;Ambos sexos;Tasa_PDIA;15802,457570221868;
Almería;De 12 a 19 años;Ambos sexos;Confirmados PDIA 14 días;874;
Almería;De 12 a 19 años;Ambos sexos;Tasa PDIA 14 dias;1364,6228550907927;
Almería;De 12 a 19 años;Ambos sexos;Confirmados PDIA 7 días;541;
Almería;De 12 a 19 años;Ambos sexos;Tasa PDIA 7 dias;844,6921791809141;
Almería;De 12 a 19 años;Ambos sexos;Fallecidos;0;
Almería;De 12 a 19 años;Ambos sexos;Tasa_Mortalidad;0;
Almería;De 12 a 19 años;Ambos sexos;Total Confirmados;10129;
Almería;De 12 a 19 años;Ambos sexos;Tasa_total;15814,948397270755;
Almería;De 20 a 29 años;Ambos sexos;Confirmados PDIA;14224;
Almería;De 20 a 29 años;Ambos sexos;Tasa_PDIA;16538,18875207832;
Almería;De 20 a 29 años;Ambos sexos;Confirmados PDIA 14 días;1663;
Almería;De 20 a 29 años;Ambos sexos;Tasa PDIA 14 dias;1933,5635471531386;
Almería;De 20 a 29 años;Ambos sexos;Confirmados PDIA 7 días;975;
Almería;De 20 a 29 años;Ambos sexos;Tasa PDIA 7 dias;1133,6286581324775;
Almería;De 20 a 29 años;Ambos sexos;Fallecidos;5;
Almería;De 20 a 29 años;Ambos sexos;Tasa_Mortalidad;5,81348029811527;
Almería;De 20 a 29 años;Ambos sexos;Total Confirmados;14275;
Almería;De 20 a 29 años;Ambos sexos;Tasa_total;16597,486251119095;
Almería;De 30 a 39 años;Ambos sexos;Confirmados PDIA;13538;
Almería;De 30 a 39 años;Ambos sexos;Tasa_PDIA;12397,095317894196;
Almería;De 30 a 39 años;Ambos sexos;Confirmados PDIA 14 días;1822;
Almería;De 30 a 39 años;Ambos sexos;Tasa PDIA 14 dias;1668,452331895644;
Almería;De 30 a 39 años;Ambos sexos;Confirmados PDIA 7 días;1043;
Almería;De 30 a 39 años;Ambos sexos;Tasa PDIA 7 dias;955,1019660632035;
Almería;De 30 a 39 años;Ambos sexos;Fallecidos;9;
Almería;De 30 a 39 años;Ambos sexos;Tasa_Mortalidad;8,241531826048735;
Almería;De 30 a 39 años;Ambos sexos;Total Confirmados;13586;
Almería;De 30 a 39 años;Ambos sexos;Tasa_total;12441,05015429979;
Almería;De 40 a 49 años;Ambos sexos;Confirmados PDIA;13949;
Almería;De 40 a 49 años;Ambos sexos;Tasa_PDIA;11454,261783544096;
Almería;De 40 a 49 años;Ambos sexos;Confirmados PDIA 14 días;1803;
Almería;De 40 a 49 años;Ambos sexos;Tasa PDIA 14 dias;1480,5386763015274;
Almería;De 40 a 49 años;Ambos sexos;Confirmados PDIA 7 días;1056;
Almería;De 40 a 49 años;Ambos sexos;Tasa PDIA 7 dias;867,1374609952372;
Almería;De 40 a 49 años;Ambos sexos;Fallecidos;37;
Almería;De 40 a 49 años;Ambos sexos;Tasa_Mortalidad;30,382657250780095;
Almería;De 40 a 49 años;Ambos sexos;Total Confirmados;14011;
Almería;De 40 a 49 años;Ambos sexos;Tasa_total;11505,173263261619;
Almería;De 50 a 59 años;Ambos sexos;Confirmados PDIA;10417;
Almería;De 50 a 59 años;Ambos sexos;Tasa_PDIA;10336,581396733414;
Almería;De 50 a 59 años;Ambos sexos;Confirmados PDIA 14 días;1283;
Almería;De 50 a 59 años;Ambos sexos;Tasa PDIA 14 dias;1273,0953184226717;
Almería;De 50 a 59 años;Ambos sexos;Confirmados PDIA 7 días;813;
Almería;De 50 a 59 años;Ambos sexos;Tasa PDIA 7 dias;806,7236896941794;
Almería;De 50 a 59 años;Ambos sexos;Fallecidos;71;
Almería;De 50 a 59 años;Ambos sexos;Tasa_Mortalidad;70,45188433983607;
Almería;De 50 a 59 años;Ambos sexos;Total Confirmados;10490;
Almería;De 50 a 59 años;Ambos sexos;Tasa_total;10409,017841195498;
Almería;De 60 a 69 años;Ambos sexos;Confirmados PDIA;6081;
Almería;De 60 a 69 años;Ambos sexos;Tasa_PDIA;8379,495659363372;
Almería;De 60 a 69 años;Ambos sexos;Confirmados PDIA 14 días;499;
Almería;De 60 a 69 años;Ambos sexos;Tasa PDIA 14 dias;687,6119608653713;
Almería;De 60 a 69 años;Ambos sexos;Confirmados PDIA 7 días;312;
Almería;De 60 a 69 años;Ambos sexos;Tasa PDIA 7 dias;429,9297230260438;
Almería;De 60 a 69 años;Ambos sexos;Fallecidos;147;
Almería;De 60 a 69 años;Ambos sexos;Tasa_Mortalidad;202,56304257957834;
Almería;De 60 a 69 años;Ambos sexos;Total Confirmados;6117;
Almería;De 60 a 69 años;Ambos sexos;Tasa_total;8429,102935097148;
Almería;De 65 años;Ambos sexos;Confirmados PDIA;589;
Almería;De 65 años;Ambos sexos;Tasa_PDIA;8663,038682159142;
Almería;De 65 años;Ambos sexos;Confirmados PDIA 14 días;54;
Almería;De 65 años;Ambos sexos;Tasa PDIA 14 dias;794,2344462420945;
Almería;De 65 años;Ambos sexos;Confirmados PDIA 7 días;37;
Almería;De 65 años;Ambos sexos;Tasa PDIA 7 dias;544,1976761288425;
Almería;De 65 años;Ambos sexos;Fallecidos;15;
Almería;De 65 años;Ambos sexos;Tasa_Mortalidad;220,62067951169288;
Almería;De 65 años;Ambos sexos;Total Confirmados;591;
Almería;De 65 años;Ambos sexos;Tasa_total;8692,4547727607;
Almería;De 66 años;Ambos sexos;Confirmados PDIA;522;
Almería;De 66 años;Ambos sexos;Tasa_PDIA;7678,729037952339;
Almería;De 66 años;Ambos sexos;Confirmados PDIA 14 días;32;
Almería;De 66 años;Ambos sexos;Tasa PDIA 14 dias;470,7266843189173;
Almería;De 66 años;Ambos sexos;Confirmados PDIA 7 días;25;
Almería;De 66 años;Ambos sexos;Tasa PDIA 7 dias;367,75522212415416;
Almería;De 66 años;Ambos sexos;Fallecidos;10;
Almería;De 66 años;Ambos sexos;Tasa_Mortalidad;147,10208884966167;
Almería;De 66 años;Ambos sexos;Total Confirmados;524;
Almería;De 66 años;Ambos sexos;Tasa_total;7708,149455722271;
Almería;De 67 años;Ambos sexos;Confirmados PDIA;500;
Almería;De 67 años;Ambos sexos;Tasa_PDIA;7489,514679448772;
Almería;De 67 años;Ambos sexos;Confirmados PDIA 14 días;36;
Almería;De 67 años;Ambos sexos;Tasa PDIA 14 dias;539,2450569203115;
Almería;De 67 años;Ambos sexos;Confirmados PDIA 7 días;28;
Almería;De 67 años;Ambos sexos;Tasa PDIA 7 dias;419,4128220491312;
Almería;De 67 años;Ambos sexos;Fallecidos;19;
Almería;De 67 años;Ambos sexos;Tasa_Mortalidad;284,6015578190533;
Almería;De 67 años;Ambos sexos;Total Confirmados;503;
Almería;De 67 años;Ambos sexos;Tasa_total;7534,451767525465;
Almería;De 68 años;Ambos sexos;Confirmados PDIA;450;
