Lugar de residencia;Edad;Sexo;Medida;Valor;
Cádiz;De 30 a 44 años;Ambos sexos;Tasa_PDIA;6572,665622210618;
Cádiz;De 30 a 44 años;Ambos sexos;Confirmados PDIA 14 días;575;
Cádiz;De 30 a 44 años;Ambos sexos;Tasa PDIA 14 dias;212,96532924439902;
Cádiz;De 30 a 44 años;Ambos sexos;Confirmados PDIA 7 días;249;
Cádiz;De 30 a 44 años;Ambos sexos;Tasa PDIA 7 dias;92,22324692496584;
Cádiz;De 30 a 44 años;Ambos sexos;Fallecidos;13;
Cádiz;De 30 a 44 años;Ambos sexos;Tasa_Mortalidad;4,81486831335163;
Cádiz;De 30 a 44 años;Ambos sexos;Total Confirmados;17837;
Cádiz;De 30 a 44 años;Ambos sexos;Tasa_total;6606,369700404079;
Cádiz;De 45 a 64 años;Ambos sexos;Confirmados PDIA;22634;
Cádiz;De 45 a 64 años;Ambos sexos;Tasa_PDIA;6134,157942235821;
Cádiz;De 45 a 64 años;Ambos sexos;Confirmados PDIA 14 días;705;
Cádiz;De 45 a 64 años;Ambos sexos;Tasa PDIA 14 dias;191,06571305453096;
Cádiz;De 45 a 64 años;Ambos sexos;Confirmados PDIA 7 días;290;
Cádiz;De 45 a 64 años;Ambos sexos;Tasa PDIA 7 dias;78,59440678838862;
Cádiz;De 45 a 64 años;Ambos sexos;Fallecidos;201;
Cádiz;De 45 a 64 años;Ambos sexos;Tasa_Mortalidad;54,47405436022798;
Cádiz;De 45 a 64 años;Ambos sexos;Total Confirmados;22783;
Cádiz;De 45 a 64 años;Ambos sexos;Tasa_total;6174,539206413304;
Cádiz;De 65 a 84 años;Ambos sexos;Confirmados PDIA;9551;
Cádiz;De 65 a 84 años;Ambos sexos;Tasa_PDIA;5216,446197035402;
Cádiz;De 65 a 84 años;Ambos sexos;Confirmados PDIA 14 días;244;
Cádiz;De 65 a 84 años;Ambos sexos;Tasa PDIA 14 dias;133,26488033469147;
Cádiz;De 65 a 84 años;Ambos sexos;Confirmados PDIA 7 días;93;
Cádiz;De 65 a 84 años;Ambos sexos;Tasa PDIA 7 dias;50,79358143904224;
Cádiz;De 65 a 84 años;Ambos sexos;Fallecidos;750;
Cádiz;De 65 a 84 años;Ambos sexos;Tasa_Mortalidad;409,62565676646966;
Cádiz;De 65 a 84 años;Ambos sexos;Total Confirmados;9614;
Cádiz;De 65 a 84 años;Ambos sexos;Tasa_total;5250,854752203786;
Cádiz;De 85 y más años;Ambos sexos;Confirmados PDIA;1982;
Cádiz;De 85 y más años;Ambos sexos;Tasa_PDIA;7536,694805688646;
Cádiz;De 85 y más años;Ambos sexos;Confirmados PDIA 14 días;15;
Cádiz;De 85 y más años;Ambos sexos;Tasa PDIA 14 dias;57,03855806525211;
Cádiz;De 85 y más años;Ambos sexos;Confirmados PDIA 7 días;2;
Cádiz;De 85 y más años;Ambos sexos;Tasa PDIA 7 dias;7,605141075366947;
Cádiz;De 85 y más años;Ambos sexos;Fallecidos;442;
Cádiz;De 85 y más años;Ambos sexos;Tasa_Mortalidad;1680,7361776560956;
Cádiz;De 85 y más años;Ambos sexos;Total Confirmados;2026;
Cádiz;De 85 y más años;Ambos sexos;Tasa_total;7704,007909346718;
Córdoba;TOTAL;Ambos sexos;Confirmados PDIA;48024;
Córdoba;TOTAL;Ambos sexos;Tasa_PDIA;6117,005693614745;
Córdoba;TOTAL;Ambos sexos;Confirmados PDIA 14 días;1894;
Córdoba;TOTAL;Ambos sexos;Tasa PDIA 14 dias;241,24622654727483;
Córdoba;TOTAL;Ambos sexos;Confirmados PDIA 7 días;926;
Córdoba;TOTAL;Ambos sexos;Tasa PDIA 7 dias;117,9482607089633;
Córdoba;TOTAL;Ambos sexos;Fallecidos;921;
Córdoba;TOTAL;Ambos sexos;Tasa_Mortalidad;117,31139105070756;
Córdoba;TOTAL;Ambos sexos;Total Confirmados;48470;
Córdoba;TOTAL;Ambos sexos;Tasa_total;6173,814467131157;
Córdoba;De 0 a 14 años;Ambos sexos;Confirmados PDIA;5380;
Córdoba;De 0 a 14 años;Ambos sexos;Tasa_PDIA;4760,472153892438;
Córdoba;De 0 a 14 años;Ambos sexos;Confirmados PDIA 14 días;191;
Córdoba;De 0 a 14 años;Ambos sexos;Tasa PDIA 14 dias;169,00560992443414;
Córdoba;De 0 a 14 años;Ambos sexos;Confirmados PDIA 7 días;97;
Córdoba;De 0 a 14 años;Ambos sexos;Tasa PDIA 7 dias;85,83007415010529;
Córdoba;De 0 a 14 años;Ambos sexos;Fallecidos;0;
Córdoba;De 0 a 14 años;Ambos sexos;Tasa_Mortalidad;0;
Córdoba;De 0 a 14 años;Ambos sexos;Total Confirmados;5388;
Córdoba;De 0 a 14 años;Ambos sexos;Tasa_total;4767,550922894508;
Córdoba;De 15 a 29 años;Ambos sexos;Confirmados PDIA;9669;
Córdoba;De 15 a 29 años;Ambos sexos;Tasa_PDIA;7471,255486184088;
Córdoba;De 15 a 29 años;Ambos sexos;Confirmados PDIA 14 días;489;
Córdoba;De 15 a 29 años;Ambos sexos;Tasa PDIA 14 dias;377,8512703220622;
Córdoba;De 15 a 29 años;Ambos sexos;Confirmados PDIA 7 días;215;
Córdoba;De 15 a 29 años;Ambos sexos;Tasa PDIA 7 dias;166,13092662421957;
Córdoba;De 15 a 29 años;Ambos sexos;Fallecidos;1;
Córdoba;De 15 a 29 años;Ambos sexos;Tasa_Mortalidad;0,7727019842986956;
Córdoba;De 15 a 29 años;Ambos sexos;Total Confirmados;9722;
Córdoba;De 15 a 29 años;Ambos sexos;Tasa_total;7512,20869135192;
Córdoba;De 30 a 44 años;Ambos sexos;Confirmados PDIA;9741;
Córdoba;De 30 a 44 años;Ambos sexos;Tasa_PDIA;6155,644728111472;
Córdoba;De 30 a 44 años;Ambos sexos;Confirmados PDIA 14 días;385;
Córdoba;De 30 a 44 años;Ambos sexos;Tasa PDIA 14 dias;243,29362697083636;
Córdoba;De 30 a 44 años;Ambos sexos;Confirmados PDIA 7 días;185;
Córdoba;De 30 a 44 años;Ambos sexos;Tasa PDIA 7 dias;116,90732724572656;
Córdoba;De 30 a 44 años;Ambos sexos;Fallecidos;3;
Córdoba;De 30 a 44 años;Ambos sexos;Tasa_Mortalidad;1,895794495876647;
Córdoba;De 30 a 44 años;Ambos sexos;Total Confirmados;9833;
Córdoba;De 30 a 44 años;Ambos sexos;Tasa_total;6213,782425985023;
Córdoba;De 45 a 64 años;Ambos sexos;Confirmados PDIA;14663;
Córdoba;De 45 a 64 años;Ambos sexos;Tasa_PDIA;6340,976120254971;
Córdoba;De 45 a 64 años;Ambos sexos;Confirmados PDIA 14 días;587;
Córdoba;De 45 a 64 años;Ambos sexos;Tasa PDIA 14 dias;253,84661955873068;
Córdoba;De 45 a 64 años;Ambos sexos;Confirmados PDIA 7 días;296;
